agency_cd,site_no,datetime,tz_cd,,110247_00060,110247_00060_cd
USGS,3145483,2020/1/6,02:45,EST,160,A
USGS,3145483,2020/1/6,03:00,EST,158,A
USGS,3145483,2020/1/6,03:15,EST,158,A
USGS,3145483,2020/1/6,03:30,EST,157,A
USGS,3145483,2020/1/6,03:45,EST,157,A
USGS,3145483,2020/1/6,04:00,EST,157,A
USGS,3145483,2020/1/6,04:15,EST,156,A
USGS,3145483,2020/1/6,04:30,EST,154,A
USGS,3145483,2020/1/6,04:45,EST,154,A
USGS,3145483,2020/1/6,05:00,EST,153,A
USGS,3145483,2020/1/6,05:15,EST,153,A
USGS,3145483,2020/1/6,05:30,EST,153,A
USGS,3145483,2020/1/6,05:45,EST,151,A
USGS,3145483,2020/1/6,06:00,EST,151,A
USGS,3145483,2020/1/6,06:15,EST,150,A
USGS,3145483,2020/1/6,06:30,EST,150,A
USGS,3145483,2020/1/6,06:45,EST,150,A
USGS,3145483,2020/1/6,07:00,EST,148,A
USGS,3145483,2020/1/6,07:15,EST,147,A
USGS,3145483,2020/1/6,07:30,EST,147,A
USGS,3145483,2020/1/6,07:45,EST,145,A
USGS,3145483,2020/1/6,08:00,EST,145,A
USGS,3145483,2020/1/6,08:15,EST,145,A
USGS,3145483,2020/1/6,08:30,EST,145,A
USGS,3145483,2020/1/6,08:45,EST,143,A
USGS,3145483,2020/1/6,09:00,EST,143,A
USGS,3145483,2020/1/6,09:15,EST,143,A
USGS,3145483,2020/1/6,09:30,EST,141,A
USGS,3145483,2020/1/6,09:45,EST,141,A
USGS,3145483,2020/1/6,10:00,EST,140,A
USGS,3145483,2020/1/6,10:15,EST,140,A
USGS,3145483,2020/1/6,10:30,EST,138,A
